horse,track,race_number,race_date,tipster,next_best_bet,value_bet,best_bet,career_3rds,spells_secondup_3rd,career_2nds,spells_firstup_1st,spells_firstup_place,spells_thirdup_odds,spells_thirdup_1st,career_places,spells_secondup_1st,earnings,twelve_months_wins,spells_thirdup_roi,twelve_months_odds,spells_thirdup_place,twelve_months_1sts,career_1sts,career_roi,twelve_months_starts,spells_thirdup_3rd,twelve_months_2nds,spells_thirdup_win,career_wins,spells_secondup_roi,spells_secondup_starts,career_odds,spells_secondup_2nd,age_in_years,career_starts,spells_firstup_win,spells_firstup_2nd,rating,spells_secondup_win,twelve_months_roi,trainer,spells_secondup_place,spells_thirdup_starts,twelve_months_3rds,spells_firstup_starts,spells_secondup_odds,twelve_months_places,spells_firstup_odds,spells_firstup_roi,spells_firstup_3rd,spells_thirdup_2nd,money
Wazamba,Moonee Valley,2,2016-03-14,1,False,False,False,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.75,1.0,36700.0,0.13,100.0,2.6,1.0,1.0,1.0,67.0,8.0,0.0,4.0,0.0,0.13,13.0,1.0,2.6,0.0,3.0,8.0,0.0,2.0,60.0,0.34,0.67,John O'Shea,0.34,0.0,1.0,0.0,2.6,0.75,0.0,100.0,1.0,2.0,False
Sistine Star,Ballarat,8,2016-03-15,1,False,False,False,5.0,2.0,1.0,0.0,0.5,5.0,1.0,0.35,0.0,31200.0,0.0,67.0,0.0,0.34,0.0,1.0,75.0,7.0,0.0,0.0,0.34,0.05,100.0,0.0,5.0,0.0,0.0,20.0,0.0,0.0,57.0,0.0,1.0,Andrew Noblet,0.5,1.0,2.0,0.0,0.0,0.29,0.0,100.0,2.0,0.0,False
Aspidistra,Ballarat,5,2016-03-15,1,False,False,False,1.0,0.0,1.0,0.0,0.5,5.0,1.0,0.5,1.0,29000.0,0.2,150.0,3.7,0.5,1.0,2.0,9.0,5.0,0.0,1.0,0.5,0.25,85.0,1.0,4.35,0.0,0.0,8.0,0.0,0.0,65.0,0.5,0.26,Mick Price,0.5,1.0,0.0,0.0,3.7,0.4,0.0,100.0,1.0,0.0,True
Montana,Ballarat,2,2016-03-15,1,False,False,False,2.0,0.0,3.0,0.0,0.5,0.0,0.0,0.64,0.0,44600.0,0.23,100.0,2.55,1.0,2.0,2.0,54.0,9.0,0.0,2.0,0.0,0.19,100.0,0.0,2.55,1.0,5.0,11.0,0.0,1.0,65.0,0.0,0.43,Darren Weir,1.0,0.0,2.0,0.0,0.0,0.67,0.0,100.0,1.0,1.0,False
Prompt Return,Gosford,7,2016-03-17,1,False,False,False,1.0,0.0,2.0,2.0,0.5,0.0,0.0,0.45,2.0,300000.0,0.34,100.0,2.96,0.67,4.0,6.0,67.0,12.0,0.0,1.0,0.0,0.3,465.0,2.0,5.58,0.0,4.0,20.0,0.5,0.0,91.0,0.5,0.01,Toby Edmonds,0.5,0.0,1.0,2.0,11.3,0.5,2.48,24.0,0.0,2.0,False
Divergence,Gosford,3,2016-03-17,1,False,False,False,1.0,0.0,4.0,0.0,0.5,0.0,0.0,0.67,0.0,34200.0,0.15,100.0,4.0,0.0,1.0,1.0,56.0,7.0,0.0,4.0,0.0,0.12,100.0,0.0,4.0,1.0,0.0,9.0,0.0,1.0,999.0,0.0,0.43,Patrick Webster,0.5,0.0,1.0,0.0,0.0,0.86,0.0,100.0,0.0,0.0,False
Isthmian,Gosford,2,2016-03-17,1,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,38500.0,0.5,0.0,2.95,0.0,2.0,2.0,18.0,4.0,0.0,0.0,0.0,0.4,0.0,0.0,2.95,0.0,0.0,5.0,0.0,0.0,53.0,0.0,0.48,Kris Lees,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,False
Palentino,Moonee Valley,6,2016-03-18,1,False,False,False,0.0,0.0,3.0,0.0,0.25,8.83,3.0,0.47,1.0,1000000.0,0.17,783.0,9.5,1.0,2.0,4.0,85.0,12.0,0.0,2.0,1.0,0.27,67.0,1.0,6.95,1.0,0.0,15.0,0.0,1.0,111.0,0.25,0.58,Darren Weir,0.5,3.0,0.0,0.0,1.3,0.34,0.0,100.0,0.0,0.0,False
Zamzam,Moonee Valley,3,2016-03-18,1,False,False,False,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.3,0.0,236000.0,0.12,100.0,1.9,0.5,1.0,2.0,49.0,9.0,1.0,0.0,0.0,0.2,100.0,0.0,7.45,0.0,0.0,10.0,0.5,0.0,72.0,0.0,0.79,David & B Hayes & T Dabernig,0.0,0.0,1.0,1.0,0.0,0.23,13.0,550.0,0.0,0.0,True
Extreme Choice,Rosehill Gardens,7,2016-03-19,1,False,False,False,0.0,0.0,0.0,2.0,1.0,2.7,1.0,0.67,1.0,1700000.0,0.6,170.0,3.03,1.0,3.0,4.0,177.0,5.0,0.0,0.0,1.0,0.67,30.0,1.0,4.15,0.0,3.0,6.0,1.0,0.0,110.0,0.5,0.82,Mick Price,0.5,1.0,0.0,2.0,1.4,0.6,6.25,525.0,0.0,0.0,False
