twelve_months_2nds,spells_secondup_place,spells_firstup_starts,career_3rds,track,spells_firstup_win,best_bet,spells_thirdup_odds,spells_secondup_win,career_1sts,race_number,spells_secondup_2nd,spells_firstup_odds,trainer,spells_thirdup_3rd,twelve_months_3rds,horse,age_in_years,rating,career_2nds,twelve_months_places,tipster,spells_firstup_place,spells_firstup_roi,career_odds,value_bet,spells_secondup_1st,spells_thirdup_2nd,spells_secondup_odds,twelve_months_wins,spells_secondup_starts,spells_thirdup_roi,career_places,twelve_months_1sts,spells_thirdup_starts,career_wins,career_roi,career_starts,spells_firstup_1st,next_best_bet,spells_firstup_2nd,earnings,spells_thirdup_1st,spells_secondup_roi,twelve_months_odds,twelve_months_roi,spells_thirdup_place,spells_thirdup_win,spells_secondup_3rd,twelve_months_starts,race_date,spells_firstup_3rd,race_time
0,1.0,0,5,Pinjarra,0.0,False,0.0,0.0,0,1,0,0.0,Trevor Andrews,2,5,Senorita Bonita,4,999,0,0.72,2,0.5,100,0.0,False,0,0,0.0,0.0,0,100,0.72,0,0,0.0,100,7,0,True,0,6500.0,0,100,0.0,1.0,1.0,0.0,2,7,2017-03-09,1,
0,0,0,0,Pinjarra,0,False,0,0,0,2,0,0,Grant & Alana Williams,0,0,Bold Victory,0,999,0,0.0,2,0,0,0.0,False,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False,0,0.0,0,0,0.0,0.0,0,0,0,0,2017-03-09,0,
1,0,0,0,Pinjarra,0,False,0,0,0,3,0,0,Simon A Miller,0,0,Blackline,3,999,1,1.0,2,0,0,0.0,False,0,0,0,0.0,0,0,1.0,0,0,0.0,100,1,0,False,0,4500.0,0,0,0.0,1.0,0,0,0,1,2017-03-09,0,
0,1.0,0,2,Pinjarra,0.0,False,0.0,0.0,0,4,0,0.0,Lindsey Smith,0,2,Golgotha,3,999,0,0.4,2,0.0,100,0.0,False,0,0,0.0,0.0,0,100,0.4,0,0,0.0,100,5,0,False,0,4000.0,0,100,0.0,1.0,0.0,0.0,2,5,2017-03-09,0,
0,0.0,1,2,Pinjarra,1.0,False,0.0,0.0,2,5,0,9.0,G Durrant & J Miller,1,2,At The Ready,0,65,0,0.8,2,1.0,800,6.0,False,0,0,0.0,0.4,0,100,0.8,2,0,0.4,140,5,1,False,0,24600.0,0,100,6.0,1.4,1.0,0.0,0,5,2017-03-09,0,
4,0.5,1,3,Pinjarra,0.25,False,2.0,0.25,3,6,0,4.2,David Harrison,0,0,Universal Moon,0,64,7,0.29,2,0.75,5,4.57,False,1,2,7.5,0.0,1,50,0.52,0,1,0.12,45,25,1,False,1,117000.0,1,88,0.0,1.0,0.75,0.25,1,14,2017-03-09,1,
0,0,0,0,Pinjarra,0,True,0,0,1,7,0,0,Ben Pearce,0,0,Mega Minx,0,56,0,0.34,2,0,0,3.2,False,0,0,0,0.34,0,0,0.34,1,0,0.34,7,3,0,False,0,14600.0,0,0,3.2,0.07,0,0,0,3,2017-03-09,0,
1,0.0,0,3,Pinjarra,0.0,False,0.0,0.0,1,8,0,0.0,Ross Price,1,3,Salty,4,60,1,0.46,2,0.0,100,4.6,True,0,0,0.0,0.1,0,100,0.36,1,0,0.08,67,14,0,False,0,18800.0,0,100,4.6,0.58,0.5,0.0,0,11,2017-03-09,0,
0,0,0,0,Muswellbrook,0,False,0,0,0,1,0,0,Paul Perry,0,0,Miss Victa,0,999,0,0.0,2,0,0,0.0,False,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,True,0,0.0,0,0,0.0,0.0,0,0,0,0,2017-03-09,0,
1,0.5,0,3,Muswellbrook,0.0,False,0.0,0.25,1,2,1,0.0,Paul Perry,1,0,Gone To Paris,0,62,2,0.15,2,0.5,100,5.0,False,1,0,5.0,0.0,1,100,0.4,0,0,0.07,67,15,0,False,0,58100.0,0,25,0.0,1.0,0.34,0.0,0,7,2017-03-09,2,
